Author	Genre	Title	TextGridID	PID
Arnim, Bettina von	Roman	Goethes Briefwechsel mit einem Kinde	k2kq.0	https://hdl.handle.net/11858/00-1734-0000-0002-0711-9
Arnim, Bettina von	Roman	Die Günderode	k2k2.0	https://hdl.handle.net/11858/00-1734-0000-0002-06FF-C
Arnim, Bettina von	Roman	Clemens Brentanos Frühlingskranz	k2k9.0	https://hdl.handle.net/11858/00-1734-0000-0002-0703-9
Arnim, Bettina von	Märchen	Der Königssohn	k2jw.0	https://hdl.handle.net/11858/00-1734-0000-0002-06F8-9
Arnim, Bettina von	Märchen	Hans ohne Bart	k2kg.0	https://hdl.handle.net/11858/00-1734-0000-0002-070C-8
Arnim, Bettina von	Märchen	Die blinde Königstochter	k2k5.0	https://hdl.handle.net/11858/00-1734-0000-0002-0701-D
Arnim, Bettina von	Märchen	Abdalas Leuchter	k2kd.0	https://hdl.handle.net/11858/00-1734-0000-0002-0708-0
Arnim, Bettina von	Märchen	Das Leben der Hochgräfin Gritta von Rattenzuhausbeiuns	k2kv.0	https://hdl.handle.net/11858/00-1734-0000-0002-0714-3
Arnim, Ludwig Achim von	Roman	Die Kronenwächter	k5d3.0	https://hdl.handle.net/11858/00-1734-0000-0002-0A12-F
Arnim, Ludwig Achim von	Roman	Armut, Reichtum, Schuld und Buße der Gräfin Dolores	k6nj.0	https://hdl.handle.net/11858/00-1734-0000-0002-0E34-0
Arnim, Ludwig Achim von	Erzählung	Der Wintergarten	k81x.0	https://hdl.handle.net/11858/00-1734-0000-0002-12C6-B
Arnim, Ludwig Achim von	Erzählung	Isabella von Ägypten	k58z.0	https://hdl.handle.net/11858/00-1734-0000-0002-09BA-E
Arnim, Ludwig Achim von	Erzählung	Die drei liebreichen Schwestern und der glückliche Färber	k654.0	https://hdl.handle.net/11858/00-1734-0000-0002-0C93-A
Arnim, Ludwig Achim von	Erzählung	Der tolle Invalide auf dem Fort Ratonneau	k5s0.0	https://hdl.handle.net/11858/00-1734-0000-0002-0B50-6
Arnim, Ludwig Achim von	Erzählung	Die Majoratsherren	k6z1.0	https://hdl.handle.net/11858/00-1734-0000-0002-0F2A-F
Bernhardi, Sophie	Roman	Evremont	kjhm.0	https://hdl.handle.net/11858/00-1734-0000-0002-2E9D-6
Bernhardi, Sophie	Erzählung	Die Quelle der Liebe	kjhs.0	https://hdl.handle.net/11858/00-1734-0000-0002-2EA5-1
Bernhardi, Sophie	Erzählung	Die Stimme im Walde	kjhc.0	https://hdl.handle.net/11858/00-1734-0000-0002-2E99-E
Bernhardi, Sophie	Erzählung	Die Blume der Liebe	kjhq.0	https://hdl.handle.net/11858/00-1734-0000-0002-2EA3-5
Bernhardi, Sophie	Erzählung	Der Einsiedler und die Nonne	kjjc.0	https://hdl.handle.net/11858/00-1734-0000-0002-2EB4-0
Bernhardi, Sophie	Erzählung	Alcandor und Angelica	kjjm.0	https://hdl.handle.net/11858/00-1734-0000-0002-2EBB-2
Bernhardi, Sophie	Erzählung	Das Vögelchen	kjj0.0	https://hdl.handle.net/11858/00-1734-0000-0002-2EAC-4
Bernhardi, Sophie	Erzählung	Der Unglückliche	kjh7.0	https://hdl.handle.net/11858/00-1734-0000-0002-2E95-5
Bernhardi, Sophie	Erzählung	Belinde	kjjq.0	https://hdl.handle.net/11858/00-1734-0000-0002-2EC0-3
Bernhardi, Sophie	Erzählung	Das Reh	kjhw.0	https://hdl.handle.net/11858/00-1734-0000-0002-2EA9-A
Bernhardi, Sophie	Erzählung	Die Waldgenossin	kjj8.0	https://hdl.handle.net/11858/00-1734-0000-0002-2EB1-5
Bernhardi, Sophie	Erzählung	Die Bezauberungen der Nacht	kjhf.0	https://hdl.handle.net/11858/00-1734-0000-0002-2E9A-C
Brentano, Clemens	Roman	Godwi oder Das steinerne Bild der Mutter	kr16.0	https://hdl.handle.net/11858/00-1734-0000-0002-40F6-0
Brentano, Clemens	Erzählung	Aus der Chronika eines fahrenden Schülers	kr3b.0	https://hdl.handle.net/11858/00-1734-0000-0002-4134-B
Brentano, Clemens	Erzählung	Die mehreren Wehmüller und ungarischen Nationalgesichter	krf0.0	https://hdl.handle.net/11858/00-1734-0000-0002-424C-D
Brentano, Clemens	Erzählung	Die drei Nüsse	kr3t.0	https://hdl.handle.net/11858/00-1734-0000-0002-4141-B
Brentano, Clemens	Erzählung	Geschichte vom braven Kasperl und dem schönen Annerl	kqqr.0	https://hdl.handle.net/11858/00-1734-0000-0002-4001-5
Brentano, Clemens	Märchen	Das Märchen von dem Rhein und dem Müller Radlauf	kr87.0	https://hdl.handle.net/11858/00-1734-0000-0002-41C3-9
Brentano, Clemens	Märchen	Das Märchen von dem Hause Starenberg und den Ahnen des Müllers Radlauf	krb4.0	https://hdl.handle.net/11858/00-1734-0000-0002-41F9-2
Brentano, Clemens	Märchen	Das Märchen vom Murmeltier	krf5.0	https://hdl.handle.net/11858/00-1734-0000-0002-4251-0
Brentano, Clemens	Märchen	Das Märchen vom Schneider Siebentot auf einen Schlag	kqt0.0	https://hdl.handle.net/11858/00-1734-0000-0002-4042-4
Brentano, Clemens	Märchen	Das Märchen von den Märchen oder Liebseelchen	kqgf.0	https://hdl.handle.net/11858/00-1734-0000-0002-3F2D-C
